Lookback Period,Batch Size,Epochs,LSTM RMSE,LSTM RMSE Std,LSTM MAPE,LSTM MAPE Std,SARIMA RMSE,SARIMA RMSE Std,SARIMA MAPE,SARIMA MAPE Std,LSTM Prediction Interval Lower,LSTM Prediction Interval Upper,SARIMA Prediction Interval Lower,SARIMA Prediction Interval Upper,LSTM Std,SARIMA Std
3,8,50,761.8660939603762,1152.7745716092068,16.579396295217826,27.50299216380428,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3054.457630462676,4040.888799687496,3631.157766758631,4583.739161357391,251.6406043940864,243.0054578058061
5,8,50,595.1261407652754,1010.032257264256,12.738041007597754,22.79521313133145,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3171.576165613075,4327.155482768476,3631.157766758631,4583.739161357391,294.79064213148,243.0054578058061
6,8,50,268.43014638695,75.73831441801497,5.325021100713249,1.472175888138362,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3654.2309805596624,4527.261170319243,3631.157766758631,4583.739161357391,222.71178310193417,243.0054578058061
7,8,50,230.67122475780928,61.03802233118307,4.562559275293208,1.2148413431140812,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3768.556277120052,4583.340475809636,3631.157766758631,4583.739161357391,207.8531119106085,243.0054578058061
9,8,50,462.3814131595319,709.5562042960007,9.714311351066264,15.454769183947247,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3346.3870343004837,4610.24724406052,3631.157766758631,4583.739161357391,322.4133188163359,243.0054578058061
11,8,50,349.35559991630606,171.06428072783095,6.7938678576264095,3.228711823748011,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3776.062322703989,4807.032497445752,3631.157766758631,4583.739161357391,263.00259559738817,243.0054578058061
12,8,50,489.7120474093652,616.805076786633,9.773178266599624,12.460566551854985,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3329.11148020361,4774.663024394371,3631.157766758631,4583.739161357391,368.76314902825584,243.0054578058061
3,8,100,332.8405140928366,16.98685210952916,6.464554916460116,0.3213534002366538,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3545.5575971103767,4415.759093970351,3631.157766758631,4583.739161357391,221.99017777040189,243.0054578058061
5,8,100,269.55310359352984,23.706725863918606,5.350533568336297,0.4620243702464894,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3644.461163277233,4494.81737676183,3631.157766758631,4583.739161357391,216.9276054807642,243.0054578058061
6,8,100,242.9718031017665,25.264467123393228,4.805418127925646,0.5420823354210251,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3696.750476656055,4526.925381905143,3631.157766758631,4583.739161357391,211.7793125635428,243.0054578058061
7,8,100,244.3481085566797,63.00384724508678,4.853875619627777,1.174973516392511,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3717.0343074069287,4557.954425503227,3631.157766758631,4583.739161357391,214.52043828987215,243.0054578058061
9,8,100,199.4717928694185,12.463504321272184,4.029195263317047,0.3202782132632659,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3858.315068075426,4599.231290160252,3631.157766758631,4583.739161357391,189.0092403277615,243.0054578058061
11,8,100,228.61153232046007,57.20277894857373,4.425744948006262,0.981735465952864,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3810.109440685829,4595.355565824588,3631.157766758631,4583.739161357391,200.31788906600988,243.0054578058061
12,8,100,441.9398471871691,621.2812686919285,8.833911245160582,12.113033258228224,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3802.53537633906,5154.692382450003,3631.157766758631,4583.739161357391,344.9380117629954,243.0054578058061
3,16,50,1165.317235858033,1533.1603175436503,26.145188342053103,36.12339275861477,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,2559.9785457493317,3769.910306119776,3631.157766758631,4583.739161357391,308.65606131899074,243.0054578058061
5,16,50,427.34258174190535,270.79332088385246,8.487816665311836,5.5495255065957325,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3369.3373320602427,4466.374146618143,3631.157766758631,4583.739161357391,279.8563302443625,243.0054578058061
6,16,50,335.1614894283361,347.8561103087487,6.44486720890905,6.477260228693915,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3515.781607694461,4605.712781140175,3631.157766758631,4583.739161357391,278.0436666953352,243.0054578058061
7,16,50,1895.8339751458147,1849.438537536022,43.292041085077,43.73875174124039,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,1642.680326643458,3245.462416841218,3631.157766758631,4583.739161357391,408.8729821933061,243.0054578058061
9,16,50,753.1426853225091,1243.9335303958633,16.416431605375482,28.93951440321569,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,2991.463332648568,4292.641131532696,3631.157766758631,4583.739161357391,331.93311196023683,243.0054578058061
11,16,50,1263.311050113596,1600.2722279311,28.18442166749599,37.442106921332005,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,2858.4235060482592,4392.390254216455,3631.157766758631,4583.739161357391,391.3180480020909,243.0054578058061
12,16,50,645.0535063138245,1054.4031679724385,14.063162453003429,24.74414369992604,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3306.970598925097,4438.425889773227,3631.157766758631,4583.739161357391,288.6365537877884,243.0054578058061
3,1,100,395.976448201644,203.9769935761444,7.770110330647993,4.126609476634423,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3460.6020003774174,4412.783436634301,3631.157766758631,4583.739161357391,242.90342761655216,243.0054578058061
5,1,100,364.89004406296056,184.85312739000324,7.201413501070135,3.60601527356182,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3532.3721059224736,4474.461194858777,3631.157766758631,4583.739161357391,240.32884921844484,243.0054578058061
6,1,100,322.6292753931506,118.98392318547408,6.427102257932073,2.338797511588101,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3715.3810620567215,4548.859733841715,3631.157766758631,4583.739161357391,212.62211014923335,243.0054578058061
7,1,100,276.19492809054384,100.5677403381561,5.561152481701639,1.905835383359024,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3784.323200513352,4575.461760424148,3631.157766758631,4583.739161357391,201.82106120173347,243.0054578058061
9,1,100,272.4340130736206,86.14919118252384,5.584912003199397,2.166383178736916,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3784.351131773672,4610.462194235443,3631.157766758631,4583.739161357391,210.74261797494177,243.0054578058061
11,1,100,317.95035201000184,133.56663371447274,6.224506042490291,2.610617995113395,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3690.830738470265,4566.219005182078,3631.157766758631,4583.739161357391,223.31333334484992,243.0054578058061
12,1,100,287.6986218071994,72.81144327091873,5.880995149441317,1.783927767835214,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3860.467325233706,4652.891260378274,3631.157766758631,4583.739161357391,202.14896304708375,243.0054578058061
3,16,100,714.7722641305236,1177.521277130217,15.669512239358236,28.204256247946955,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3154.135322552537,4031.418384630864,3631.157766758631,4583.739161357391,223.79669950977708,243.0054578058061
5,16,100,647.471385884078,1197.8920932483757,14.47715314349114,28.55641956753016,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3269.22539282372,4106.534406802005,3631.157766758631,4583.739161357391,213.59923825976665,243.0054578058061
6,16,100,602.7699820217426,1122.434396348209,13.228857645164728,26.21630247081005,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3252.075759085693,4251.148996360423,3631.157766758631,4583.739161357391,254.86562175375747,243.0054578058061
7,16,100,629.8936019014138,1154.3623308927083,13.949240978582123,27.285434702274387,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3318.663405976124,4271.968791705938,3631.157766758631,4583.739161357391,243.19014942087125,243.0054578058061
9,16,100,233.60393635738632,33.8541721941011,4.64364989838796,0.7825465937557315,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3777.3016446394295,4601.6156323788,3631.157766758631,4583.739161357391,210.2841805457578,243.0054578058061
11,16,100,274.34546386441923,107.07414977213448,5.413744979595771,1.8683406257026935,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3683.492496469509,4637.350020620334,3631.157766758631,4583.739161357391,243.331001058884,243.0054578058061
12,16,100,720.3587922187304,917.2449155090894,15.416170723723544,20.53989719027527,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3757.387754763653,5136.034413205097,3631.157766758631,4583.739161357391,351.6955761330213,243.0054578058061
3,1,50,357.49244923412147,206.0885454097022,7.021160470013503,4.14847362157926,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3531.0106445790893,4430.946940056327,3631.157766758631,4583.739161357391,229.5755855809278,243.0054578058061
5,1,50,282.6459715630257,139.0901014713538,5.833743672127508,3.1238788287065367,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3907.581597490346,4629.34356933908,3631.157766758631,4583.739161357391,184.12295200222823,243.0054578058061
6,1,50,269.0190455612031,78.94132837955284,5.451579374344304,1.7601308152606132,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3815.608232301277,4573.639749469557,3631.157766758631,4583.739161357391,193.3753870327245,243.0054578058061
7,1,50,332.1111137916006,171.21034049696337,6.858200982737533,3.805588361711022,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3893.6095093385056,4675.647639912796,3631.157766758631,4583.739161357391,199.49952310568628,243.0054578058061
9,1,50,298.7576295798402,98.91446573001778,6.113404203836736,2.300541987892556,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3871.474561203976,4657.783405918421,3631.157766758631,4583.739161357391,200.58899099858309,243.0054578058061
11,1,50,292.7763485653994,192.7169333636732,5.859639049890047,3.967958953820432,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3700.200095183932,4588.260793487943,3631.157766758631,4583.739161357391,226.54609650612488,243.0054578058061
12,1,50,252.679235712143,46.76292205360851,4.870211298299938,0.8815290237209518,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3862.2511710922554,4653.843295053578,3631.157766758631,4583.739161357391,201.93676631666435,243.0054578058061
